,Open,High,Low,Close,Volume,Change,code
2022-03-18,1200943,1221547,1200943,1218604,34806,0.015951198486666204,207940
2022-03-21,1220076,1231850,1217132,1220076,33657,0.0012079395767616058,207940
2022-03-22,1221547,1231850,1199471,1230378,22834,0.008443736291837558,207940
2022-03-23,1230378,1242152,1223019,1228906,27099,-0.0011963802993876678,207940
2022-03-24,1221547,1228906,1198000,1212717,30957,-0.013173505540700427,207940
2022-03-25,1208302,1212717,1193584,1205358,29744,-0.006068192331764129,207940
2022-03-28,1192113,1212717,1192113,1211245,21573,0.004884026156544363,207940
2022-03-29,1217132,1218604,1206830,1218604,22387,0.0060755668754050585,207940
2022-03-30,1224491,1248039,1220076,1242152,34071,0.019323750783683626,207940
2022-03-31,1230378,1236265,1215660,1217132,40223,-0.02014246243615918,207940
2022-04-01,1214189,1214189,1199471,1206830,30707,-0.008464160008939048,207940
2022-04-04,1192113,1205358,1181810,1200943,31659,-0.004878068990661485,207940
2022-04-05,1199471,1208302,1193584,1196528,26027,-0.003676277725087702,207940
2022-04-06,1190641,1211245,1187697,1196528,34747,0.0,207940
2022-04-07,1189169,1208302,1189169,1192113,32781,-0.0036898426112886617,207940
2022-04-08,1195056,1202415,1177395,1190641,24484,-0.001234782273156991,207940
2022-04-11,1178867,1196528,1172980,1178867,21664,-0.009888790995774544,207940
2022-04-12,1170036,1183282,1150904,1162678,28759,-0.013732677223130344,207940
2022-04-13,1168565,1192113,1158262,1189169,30200,0.02278446827066479,207940
2022-04-14,1190641,1239208,1186226,1234793,75688,0.0383662877185665,207940
2022-04-15,1221547,1252454,1209773,1228906,39054,-0.00476760072336011,207940
2022-04-18,1217132,1228906,1209773,1224491,19788,-0.0035926262871204145,207940
2022-04-19,1225963,1228906,1212717,1214189,23196,-0.008413291726929803,207940
2022-04-20,1215660,1215660,1184754,1184754,30024,-0.024242519080637365,207940
2022-04-21,1196528,1198000,1186226,1186226,15951,0.0012424520195753717,207940
2022-04-22,1183282,1184754,1171508,1178867,25930,-0.006203708230977908,207940
2022-04-25,1164149,1177395,1164149,1167093,18630,-0.009987555848115183,207940
2022-04-26,1171508,1203886,1171508,1183282,38478,0.01387121677535552,207940
2022-04-27,1167093,1198000,1164149,1192113,24038,0.007463140654552339,207940
2022-04-28,1206830,1228906,1195056,1228906,67002,0.030863684902354055,207940
2022-04-29,1217132,1234793,1217132,1233321,43705,0.0035926262871204145,207940
2022-05-02,1220076,1234793,1220076,1233321,18559,0.0,207940
2022-05-03,1234793,1242152,1223019,1224491,23531,-0.007159531054770007,207940
2022-05-04,1225963,1231850,1186226,1199471,29677,-0.020432979907569756,207940
2022-05-06,1183282,1190641,1168565,1168565,35501,-0.025766358669780262,207940
2022-05-09,1170036,1177395,1164149,1174452,24762,0.005037802775198641,207940
2022-05-10,1178867,1189169,1165621,1174452,35784,0.0,207940
2022-05-11,1167093,1174452,1162678,1167093,20288,-0.006265901032992408,207940
2022-05-12,1162678,1177395,1149432,1159734,34567,-0.0063054101087059895,207940
2022-05-13,1168565,1170036,1140601,1155319,42932,-0.003806907446017794,207940
2022-05-16,1161206,1162678,1133243,1133243,29718,-0.019108142426464032,207940
2022-05-17,1133243,1143545,1125884,1127356,28679,-0.005194825822881765,207940
2022-05-18,1131771,1167093,1130299,1167093,31640,0.03524796071516007,207940
2022-05-19,1149432,1174452,1145017,1171508,28919,0.003782903333324765,207940
2022-05-20,1175923,1193584,1170036,1189169,26412,0.015075441226180274,207940
2022-05-23,1189169,1206830,1181810,1205358,23488,0.013613708396367547,207940
2022-05-24,1192113,1206830,1183282,1189169,25768,-0.013430864523237078,207940
2022-05-25,1196528,1236265,1193584,1223019,63991,0.028465255989686914,207940
2022-05-26,1215660,1240680,1215660,1236265,40057,0.010830575812804217,207940
2022-05-27,1231850,1240680,1220076,1227434,22011,-0.0071432904757475135,207940
2022-05-30,1228906,1242152,1221547,1240680,23281,0.010791618938370617,207940
2022-05-31,1234793,1246567,1223019,1246567,52226,0.004744978560144437,207940
2022-06-02,1231850,1248039,1227434,1240680,33569,-0.004722570066430444,207940
2022-06-03,1242152,1256869,1239208,1253926,29488,0.010676403262726892,207940
2022-06-07,1243624,1245095,1203886,1209773,48474,-0.03521180675733656,207940
2022-06-08,1218604,1224491,1209773,1218604,27866,0.007299716558395666,207940
2022-06-09,1200943,1206830,1183282,1193584,61334,-0.02053169036044523,207940
2022-06-10,1178867,1199471,1170036,1193584,38226,0.0,207940
2022-06-13,1162678,1168565,1149432,1156791,48234,-0.03082564779688736,207940
2022-06-14,1147960,1171508,1146488,1153847,41910,-0.002544971390683365,207940
2022-06-15,1164149,1184754,1152375,1162678,41516,0.007653527720746338,207940
2022-06-16,1184754,1198000,1178867,1187697,39879,0.021518425565805837,207940
2022-06-17,1170036,1224491,1170036,1224491,170168,0.030979281752837637,207940
2022-06-20,1214189,1215660,1187697,1209773,36421,-0.012019688180639955,207940
2022-06-21,1221547,1221547,1199471,1208302,26265,-0.0012159305919374958,207940
2022-06-22,1203886,1214189,1192113,1202415,46100,-0.004872126339276108,207940
2022-06-23,1199471,1220076,1195056,1206830,67059,0.003671777215021436,207940
2022-06-24,1220076,1227434,1208302,1223019,66852,0.013414482570038862,207940
2022-06-27,1225963,1225963,1184754,1186226,49707,-0.030083751765099316,207940
2022-06-28,1190641,1199471,1178867,1199471,30245,0.01116566320414491,207940
2022-06-29,1195056,1199471,1175923,1178867,31892,-0.017177572446520174,207940
2022-06-30,1181810,1186226,1162678,1162678,39398,-0.013732677223130344,207940
2022-07-01,1175923,1181810,1137658,1149432,70069,-0.011392664177012036,207940
2022-07-04,1150904,1168565,1140601,1164149,53716,0.012803715226303079,207940
2022-07-05,1167093,1184754,1162678,1184754,34447,0.017699624360799176,207940
2022-07-06,1170036,1192113,1168565,1177395,42737,-0.006211416040798343,207940
2022-07-07,1189169,1202415,1180339,1202415,37595,0.02125030257475189,207940
2022-07-08,1200943,1206830,1192113,1205358,32954,0.0024475742568081734,207940
2022-07-11,1203886,1223019,1199471,1220076,42388,0.012210480205880742,207940
2022-07-12,1220076,1227434,1199471,1227434,43916,0.006030771853556664,207940
2022-07-13,1227434,1228906,1218604,1224491,29094,-0.002397684926440037,207940
2022-07-14,1211245,1220076,1196528,1214189,38930,-0.008413291726929803,207940
2022-07-15,1215660,1218604,1196528,1202415,26465,-0.009697007632254945,207940
2022-07-18,1196528,1202415,1181810,1192113,31262,-0.008567757388256134,207940
2022-07-19,1212717,1218604,1195056,1205358,31854,0.01111052391845404,207940
2022-07-20,1211245,1217132,1202415,1211245,24158,0.004884026156544363,207940
2022-07-21,1206830,1215660,1195056,1202415,24411,-0.007290019773043439,207940
2022-07-22,1200943,1221547,1199471,1220076,38094,0.014687940519704097,207940
2022-07-25,1215660,1225963,1212717,1220076,26387,0.0,207940
2022-07-26,1215660,1220076,1206830,1218604,19330,-0.001206482219140447,207940
2022-07-27,1220076,1246567,1218604,1237737,57365,0.015700752664524323,207940
2022-07-28,1242152,1276002,1242152,1270115,73779,0.02615903055334049,207940
2022-07-29,1277474,1287776,1268643,1273058,42230,0.002317113017325203,207940
2022-08-01,1261285,1293663,1259813,1292191,43144,0.015029165992437109,207940
2022-08-02,1298078,1299550,1265700,1274530,39311,-0.013667484141276326,207940
2022-08-03,1280417,1287776,1274530,1281889,27487,0.005773893121385923,207940
2022-08-04,1284832,1289248,1274530,1287776,29636,0.004592441311221175,207940
2022-08-05,1289248,1323098,1289248,1317211,53436,0.02285723604105062,207940
2022-08-08,1315739,1324570,1303965,1324570,33601,0.005586804240171089,207940
2022-08-09,1324570,1330457,1318683,1327513,26185,0.00222185312969492,207940
2022-08-10,1330457,1339287,1295135,1312796,29800,-0.011086143789175697,207940
2022-08-11,1320154,1331928,1320154,1330457,48824,0.0134529660358502,207940
2022-08-12,1331928,1339287,1309852,1339287,26868,0.006636817274064476,207940
2022-08-16,1351061,1356948,1321626,1331928,25261,-0.005494714725073863,207940
2022-08-17,1334872,1337815,1280417,1281889,57851,-0.03756884756533386,207940
2022-08-18,1284832,1296606,1271587,1287776,28860,0.004592441311221175,207940
2022-08-19,1290719,1293663,1276002,1277474,20235,-0.007999838481226549,207940
2022-08-22,1267171,1274530,1245095,1252454,35639,-0.019585525811092828,207940
2022-08-23,1248039,1249511,1218604,1220076,47209,-0.02585164804455892,207940
2022-08-24,1221547,1228906,1209773,1218604,33428,-0.001206482219140447,207940
2022-08-25,1230378,1243624,1220076,1243624,25565,0.02053169036044523,207940
2022-08-26,1250982,1258341,1236265,1246567,25359,0.0023664708947398892,207940
2022-08-29,1208302,1227434,1208302,1220076,29901,-0.021251164197351607,207940
2022-08-30,1230378,1236265,1208302,1230378,31114,0.008443736291837558,207940
2022-08-31,1218604,1236265,1214189,1228906,36865,-0.0011963802993876678,207940
2022-09-01,1220076,1225963,1199471,1215660,35073,-0.010778692593249605,207940
2022-09-02,1215660,1246567,1211245,1233321,41153,0.014527910764522976,207940
2022-09-05,1233321,1236265,1192113,1199471,43809,-0.027446220408150025,207940
2022-09-06,1199471,1209773,1196528,1200943,16882,0.0012272076607104299,207940
2022-09-07,1193584,1202415,1175923,1193584,45023,-0.006127684661137123,207940
2022-09-08,1206830,1214189,1190641,1192113,46219,-0.001232422686631188,207940
2022-09-13,1203886,1240680,1199471,1237737,54707,0.038271539694643045,207940
2022-09-14,1200943,1230378,1192113,1218604,47381,-0.015458049650289196,207940
2022-09-15,1220076,1225963,1184754,1187697,45064,-0.025362628056366136,207940
2022-09-16,1178867,1186226,1177395,1180339,27146,-0.006195182778099129,207940
2022-09-19,1177395,1195056,1171508,1190641,26276,0.008728001023434793,207940
2022-09-20,1200943,1200943,1177395,1177395,30344,-0.011125099841177988,207940
2022-09-21,1178867,1178867,1150904,1156791,38469,-0.01749964965028729,207940
2022-09-22,1147960,1164149,1136186,1155319,28627,-0.0012724856953416825,207940
2022-09-23,1165621,1165621,1133243,1133243,30455,-0.019108142426464032,207940
2022-09-26,1121469,1133243,1112638,1115582,34895,-0.015584477468645296,207940
2022-09-27,1115582,1118525,1089090,1109695,35620,-0.005277066141260795,207940
2022-09-28,1099393,1133243,1096449,1128828,62954,0.017241674514168307,207940
2022-09-29,1162678,1214189,1161206,1196528,122237,0.059973707243264694,207940
2022-09-30,1198000,1215660,1183282,1187697,51337,-0.0073805209740181585,207940
2022-10-04,1202415,1205358,1177395,1193584,29435,0.004956651401830601,207940
2022-10-05,1206830,1206830,1186226,1187697,26212,-0.004932204185042695,207940
2022-10-06,1198000,1202415,1186226,1195056,21047,0.006196024743684626,207940
2022-10-07,1189169,1205358,1184754,1193584,35779,-0.0012317414414052563,207940
2022-10-11,1192113,1199471,1170036,1180339,35587,-0.011096831056716576,207940
2022-10-12,1181810,1212717,1171508,1206830,38940,0.02244355223372269,207940
2022-10-13,1202415,1208302,1186226,1187697,31847,-0.01585393137393005,207940
2022-10-14,1205358,1205358,1180339,1186226,39553,-0.0012385313762685265,207940
2022-10-17,1186226,1227434,1181810,1221547,44504,0.029775944887399198,207940
2022-10-18,1236265,1248039,1224491,1243624,44153,0.018072984502438303,207940
2022-10-19,1243624,1265700,1237737,1246567,40490,0.0023664708947398892,207940
2022-10-20,1236265,1236265,1212717,1228906,36182,-0.014167710199291332,207940
2022-10-21,1239208,1249511,1237737,1246567,32485,0.014371318880370021,207940
2022-10-24,1259813,1284832,1255398,1284832,63663,0.030696304330212497,207940
2022-10-25,1292191,1317211,1277474,1301022,80253,0.012600869218699412,207940
2022-10-26,1302493,1323098,1289248,1318683,58642,0.013574712802704336,207940
2022-10-27,1326041,1331928,1273058,1284832,105965,-0.02567030893702277,207940
2022-10-28,1287776,1303965,1283361,1289248,47307,0.003437025229757665,207940
2022-10-31,1301022,1312796,1281889,1290719,27164,0.0011409752041500161,207940
2022-11-01,1303965,1305437,1286304,1298078,34208,0.005701473364845487,207940
2022-11-02,1289248,1293663,1276002,1284832,46940,-0.010204317460121813,207940
2022-11-03,1261285,1293663,1253926,1280417,33421,-0.003436246917884984,207940
2022-11-04,1283361,1289248,1273058,1281889,16776,0.0011496254735761866,207940
2022-11-07,1293663,1303965,1280417,1299550,31171,0.013777323933663523,207940
2022-11-08,1308380,1333400,1302493,1324570,49988,0.019252818283251896,207940
2022-11-09,1324570,1330457,1309852,1317211,43941,-0.0055557652672187955,207940
2022-11-10,1321626,1337815,1321626,1334872,48776,0.013407874668523114,207940
2022-11-11,1349589,1354004,1321626,1324570,48070,-0.0077175938966432735,207940
2022-11-14,1323098,1345174,1323098,1326041,38368,0.001110549083853628,207940
2022-11-15,1337815,1339287,1326041,1333400,26700,0.005549602161622455,207940
2022-11-16,1333400,1334872,1286304,1295135,40044,-0.028697315134243288,207940
2022-11-17,1296606,1309852,1287776,1287776,22556,-0.00568203314712366,207940
2022-11-18,1289248,1308380,1286304,1298078,29764,0.007999838481226549,207940
2022-11-21,1318683,1318683,1298078,1306909,20480,0.006803135096658291,207940
2022-11-22,1305437,1320154,1301022,1306909,31675,0.0,207940
2022-11-23,1309852,1309852,1292191,1306909,21661,0.0,207940
2022-11-24,1312796,1323098,1306909,1318683,19318,0.009009043475865572,207940
2022-11-25,1324570,1330457,1317211,1328985,21530,0.0078123400392664495,207940
2022-11-28,1326041,1328985,1298078,1302493,15937,-0.019934009789425763,207940
2022-11-29,1312796,1314267,1290719,1302493,18993,0.0,207940
2022-11-30,1296606,1317211,1290719,1305437,47148,0.002260280861394265,207940
2022-12-01,1314267,1321626,1290719,1301022,32788,-0.0033820092428818852,207940
2022-12-02,1301022,1302493,1280417,1280417,25622,-0.015837549249743663,207940
2022-12-05,1280417,1281889,1224491,1225963,62521,-0.042528332566656016,207940
2022-12-06,1214189,1250982,1214189,1233321,34204,0.006001812452741233,207940
2022-12-07,1230378,1237737,1206830,1223019,28644,-0.008353056503538007,207940
2022-12-08,1218604,1228906,1200943,1217132,56998,-0.0048134984002701515,207940
2022-12-09,1227434,1228906,1199471,1217132,32439,0.0,207940
2022-12-12,1217132,1220076,1192113,1199471,25257,-0.014510340702569647,207940
2022-12-13,1202415,1214189,1200943,1206830,18306,0.0061352046026956885,207940
2022-12-14,1214189,1243624,1211245,1231850,30898,0.020732000364591534,207940
2022-12-15,1234793,1234793,1211245,1211245,17993,-0.0167268742135812,207940
2022-12-16,1196528,1231850,1193584,1228906,28060,0.014580865142890167,207940
2022-12-19,1214189,1223019,1208302,1208302,14734,-0.016766131827820843,207940
2022-12-20,1206830,1211245,1186226,1206830,24398,-0.001218238486735932,207940
2022-12-21,1212717,1215660,1193584,1203886,14103,-0.002439448803891186,207940
2022-12-22,1205358,1215660,1203886,1212717,18063,0.007335412156965027,207940
2022-12-23,1199471,1209773,1178867,1186226,30103,-0.021844337961783332,207940
2022-12-26,1189169,1214189,1189169,1209773,31056,0.01985034892170632,207940
2022-12-27,1215660,1224491,1208302,1218604,35892,0.007299716558395666,207940
2022-12-28,1208302,1231850,1208302,1221547,34229,0.0024150585423976943,207940
2022-12-29,1209773,1223019,1206830,1208302,23902,-0.01084280834057142,207940
2023-01-02,1223019,1225963,1209773,1217132,22429,0.0073077757050803525,207940
2023-01-03,1214189,1217132,1175923,1181810,48527,-0.029020681405139293,207940
2023-01-04,1177395,1180339,1152375,1168565,49192,-0.011207385281898106,207940
2023-01-05,1174452,1196528,1174452,1189169,34101,0.01763188183798077,207940
2023-01-06,1175923,1203886,1174452,1189169,27959,0.0,207940
2023-01-09,1206830,1212717,1190641,1195056,32074,0.00495051586443979,207940
2023-01-10,1200943,1205358,1175923,1175923,44591,-0.016010128395656773,207940
2023-01-11,1184754,1189169,1175923,1181810,45365,0.005006280173106572,207940
2023-01-12,1189169,1202415,1186226,1193584,40959,0.009962684357045549,207940
2023-01-13,1199471,1209773,1193584,1193584,42204,0.0,207940
2023-01-16,1193584,1199471,1186226,1187697,29119,-0.004932204185042695,207940
2023-01-17,1192113,1193584,1167093,1167093,53843,-0.017347858923614356,207940
2023-01-18,1167093,1170036,1156791,1167093,32824,0.0,207940
2023-01-19,1167093,1180339,1161206,1178867,25865,0.010088313442030756,207940
2023-01-20,1172980,1177395,1168565,1177395,23395,-0.001248656549042428,207940
2023-01-25,1177395,1183282,1172980,1174452,31237,-0.0024995859503395205,207940
2023-01-26,1174452,1177395,1161206,1170036,58376,-0.0037600514963574503,207940
2023-01-27,1168565,1193584,1164149,1190641,56642,0.01761056924744196,207940
2023-01-30,1206830,1221547,1177395,1181810,83342,-0.007417013188694157,207940
2023-01-31,1183282,1184754,1165621,1167093,64292,-0.012452932366454846,207940
2023-02-01,1167093,1184754,1159734,1183282,51000,0.01387121677535552,207940
2023-02-02,1186226,1202415,1186226,1195056,43873,0.009950290801347439,207940
2023-02-03,1187697,1200943,1180339,1193584,32093,-0.0012317414414052563,207940
2023-02-06,1190641,1203886,1181810,1187697,30975,-0.004932204185042695,207940
2023-02-07,1187697,1200943,1187697,1196528,30497,0.007435398085538652,207940
2023-02-08,1196528,1211245,1193584,1200943,28439,0.0036898426112886617,207940
2023-02-09,1200943,1206830,1190641,1198000,28036,-0.002450574257062991,207940
2023-02-10,1190641,1193584,1180339,1189169,23447,-0.007371452420701169,207940
2023-02-13,1189169,1192113,1178867,1187697,21266,-0.001237839196951821,207940
2023-02-14,1189169,1193584,1180339,1184754,27940,-0.0024779047181225514,207940
2023-02-15,1184754,1186226,1167093,1168565,48882,-0.013664440044093541,207940
2023-02-16,1172980,1192113,1170036,1190641,31871,0.018891546469387666,207940
2023-02-17,1181810,1184754,1172980,1175923,23235,-0.01236140868658143,207940
2023-02-20,1177395,1190641,1167093,1184754,22167,0.007509845457568225,207940
